district,mandal,industry_category,type_of_industry,unit_name,line_of_activity,investment,employement,present_status,export,type_of_connection,ie_or_not,district_name,mandal_name,employment,presentstatus,typeofindustry,typeofconnection
Hyderabad,Charminar,Small,Proprietary,A P Met Engineering Ltd,Forging Of Ferrous And Non- Ferrous Metals ( Using Oil And Gas Fired Furnaces),400000.0,5.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Small,Proprietary,Sri Rama Metal Works,Flour Mills (Dry Process),200000.0,2.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Small,Proprietary,Print Arts Corporation,Printing Or Etching Of Glass Sheet Usinghydrofluoric Acid,300000.0,3.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Small,Pvt Ltd,Ganesh Marketing,Oil And Gas Transportation Pipeline,300000.0,3.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Small,Proprietary,S S A Vasavi Enterprises,Digital Printing On Pvc Clothes,450000.0,5.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Small,Pvt Ltd,Sree Maruthi Refrigeration,Power Generation Plant [Exceptwind And Solar Renewablepower Plants Of All Capacities And Mini Hyde! Power Plant Of Capacity <25Mw[,300000.0,4.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Small,Pvt Ltd,Machayenge,Manufacturing Of Glass,200000.0,3.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Small,Proprietary,Suraj Bhan And Company Jewellery,"Industries Engaged In Recycling / Reprocessing/ Recovery/Reuse Of Hazardous Waste Underschedule Iv Of Hw( M, H& Tbm) Rules, 2008 - Items Namely -Spent Cleared Metal Catalystcontaining Copper„Spent Cleared Metal Catalystcontaining Zinc„",800000.0,6.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Small,Pvt Ltd,Swastik Herbal Cosmetics,Reprocessing Of Waste Plastic Including Pvc,200000.0,2.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Small,Proprietary,H K G N Engineering Co,Aluminium & Copper Extraction From Scrap Using Oil Fired Furnace (Dry Process Only),500000.0,6.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Small,Pvt Ltd,Zoheb Cards & Printers,Cardboard Or Corrugated Box And Paper Products (Excluding Paper Or Pulp Manufacturing And Without Using Boilers),250000.0,3.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Medium,Proprietary,Kiran Enterprises,"Synthetic Fibers Including Rayon ,Tyre Cord, Polyester Filamentyarn",700000.0,15.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Small,Proprietary,Believe Bags Industries,Industrial Estates / Parks/Complexes / Areas / Export Processing Zones/ Sezs / Biotech Parks/ Leather Complex,200000.0,2.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Small,Pvt Ltd,A.N.S. Febs And Engineering Works,Electrical And Electronic Item Assembling ( Completely Dry Process),300000.0,3.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Small,Proprietary,Designer Furniture,Polythene And Plastic Processed Products Manufacturing(Virgin Plastic),250000.0,3.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Small,Proprietary,Asia Leather,Leather Foot Wear And Leather Products (Excluding Tanning And Hide Processing Except Cottage Scale),300000.0,3.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Small,Proprietary,K R Enterprises,Electric Lamp ( Bulb) And Ge Manufacturing By Assembling Only,700000.0,15.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Small,Pvt Ltd,Medhini Enterprises,Reprocessing Of Waste Plastic Including Pvc,350000.0,3.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Small,Proprietary,Shantineketan Garden Scapes,Paper Pins And U Clips,350000.0,6.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Small,Pvt Ltd,Jagdamba Enterprises,"Carpentry & Wooden Furniture Manufacturing (Excluding Saw Mill) With The Help Of Electrical (Motorized) Machines Such As Electrical Wood Planner, Steel Saw Cutting Circular Blade, Etc",300000.0,4.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Small,Pvt Ltd,Lippia Private Limited,Polythene And Plastic Processed Products Manufacturing(Virgin Plastic),300000.0,5.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Medium,Proprietary,Jai Bhawani Furniture,Leather Cutting And Stitching (More Than 10 Machine And Using Motor),600000.0,10.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Small,Proprietary,Bharat Dynamics Limited,Cement,200000.0,5.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Small,Proprietary,Komal Paper Enterprises,Printing Or Etching Of Glass Sheet Usinghydrofluoric Acid,250000.0,10.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Small,Pvt Ltd,Unnati Silk Prints Private Limited,Digital Printing On Pvc Clothes,250000.0,3.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Small,Proprietary,Krishma Solar Pvt Ltd,"Solar Power Generation Through Solar Photovoltaic Cell, Wind Power And Mini Hydel Power (Less Than 25 Mw)",500000.0,6.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Small,Proprietary,Aditya Mannequins,Electrical And Electronic Item Assembling ( Completely Dry Process),350000.0,5.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Small,Pvt Ltd,Annapurna Industries,Chanachur And Ladoo From Puffed And Beaten Rice( Murl And Shira) Using Husk Fired Oven,300000.0,5.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Small,Proprietary,Airavata Weaves And Textiles Private Limited,Cotton Spinning And Weaving (Medium And Large Scale),300000.0,5.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Medium,Proprietary,Bharat Dynamics Limited,"Cement Products (Without Using Asbestos / Boiler / Steam Curing) Like Pipe ,Pillar, Jafri, Well Ring, Block/Tiles Etc.(Should Be Done In Closed Covered Shed To Control Fugitive Emissions)",150000.0,5.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Small,Proprietary,R R Packaging Industries,Packing Of Powdered Mill,250000.0,10.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Hyderabad,Small,Proprietary,Vieta Plus Foods & Beverages Private Limited,Ice Cream,300000.0,3.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Small,Proprietary,Dragon Noodles,Fish Processing And Packing (Excluding Chilling Of Fishes),600000.0,10.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Small,Proprietary,Rameshchand And Sons Jewellers,Flour Mills (Dry Process),600000.0,8.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Small,Proprietary,Sunrise Industries,Food And Food Processing Including Fruits And Vegetable Processing,200000.0,3.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Small,Llp,Rahmat Handi Crafts,Paper Pins And U Clips,300000.0,4.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Small,Pvt Ltd,Lianara - High Fashion Private Limited,"Glass , Ceramic, Earthen Potteries, Tile And Tile Manufacturing Using Electrical Kiln Or Not Involving Fossil Fuel Kiln",300000.0,4.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Small,Partnership,Zia Engineering Works,Engineering And Fabrication Units (Dry Process Without Any Heat Treatment / Metal Surface Finishing Operations / Painting),300000.0,3.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Small,Proprietary,Jahapanah Furniture,"Modular Wooden Furniture From Particle Board, Mdf< Swan Timber Etc, Ceiling Tiles/ Partition Board From Saw Dust, Wood Chips Etc., And Other Agricultural Waste Using Synthetic Adhesive Resin, Wooden Box Making ( With Boiler)",200000.0,5.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Medium,Proprietary,Nandi Polymer,"Gold And Silver Smithy (Purification With Acid, Smelting Operating And Sulfuric Acidpolishing Operation) (Using Less Than Or Equal To 1 Litre Of Sulphuric Acid / Nitric Acid Permonth.",800000.0,100.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Small,Pvt Ltd,B.R. Timber Panels,Ayurvedic And Homeopathic Medicine,300000.0,3.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Small,Pvt Ltd,Environmental And Spatial Solutions India Private,"Cement Products (Without Using Asbestos / Boiler / Steam Curing) Like Pipe ,Pillar, Jafri, Well Ring, Block/Tiles Etc.(Should Be Done In Closed Covered Shed To Control Fugitive Emissions)",250000.0,3.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Small,Pvt Ltd,Sv Concrete Blocks,"Cement Products (Without Using Asbestos / Boiler / Steam Curing) Like Pipe ,Pillar, Jafri, Well Ring, Block/Tiles Etc.(Should Be Done In Closed Covered Shed To Control Fugitive Emissions)",250000.0,4.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Small,Pvt Ltd,King Industries,Industry Or Process Involving'Metal Surface Treatment Orprocess Such As Pickling/Electroplating/Paint Stripping/Heat Treatment Using Cyanidebath/ Phosphating Or Finishingand Anodizing / Enamellings/Galvanizing,250000.0,3.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Small,Proprietary,Space Tech,Surgical And Medical Products Assembling Only (Not Involving Effluent / Emission Generating Processes),300000.0,4.0,Active,No,Ht,NO,,,0.0,,,
